ACT Symbol,Security Name,Exchange,CQS Symbol,ETF,Round Lot Size,Test Issue,NASDAQ Symbol
ACP$A,abrdn Income Credit Strategies Fund 5.250% Series A Perpetual Preferred Stock,N,ACPpA,N,100.0,N,ACP-A
ACR,ACRES Commercial Realty Corp. Common Stock,N,ACR,N,100.0,N,ACR
ACR$C,ACRES Commercial Realty Corp. 8.625% Fixed-to-Floating Series C Cumulative Redeemable Preferred Stock ,N,ACRpC,N,100.0,N,ACR-C
ACR$D,ACRES Commercial Realty Corp. 7.875% Series D Cumulative Redeemable Preferred Stock,N,ACRpD,N,100.0,N,ACR-D
ACRE,Ares Commercial Real Estate Corporation Common Stock,N,ACRE,N,100.0,N,ACRE
ACV,Virtus Diversified Income & Convertible Fund Common Shares of Beneficial Interest,N,ACV,N,100.0,N,ACV
ACVA,ACV Auctions Inc. Class A Common Stock,N,ACVA,N,100.0,N,ACVA
AD,"Array Digital Infrastructure, Inc. Common Shares",N,AD,N,100.0,N,AD
ADC,Agree Realty Corporation Common Stock,N,ADC,N,100.0,N,ADC
ADC$A,"Agree Realty Corporation Depositary Shares, each representing 1/1,000th of a 4.250% Series A Cumulative Redeemable Preferred Stock",N,ADCpA,N,100.0,N,ADC-A
ADCT,ADC Therapeutics SA Common Shares,N,ADCT,N,100.0,N,ADCT
ADM,Archer-Daniels-Midland Company Common Stock,N,ADM,N,100.0,N,ADM
ADNT,Adient plc Ordinary Shares ,N,ADNT,N,100.0,N,ADNT
ADT,ADT Inc. Common Stock,N,ADT,N,100.0,N,ADT
ADX,Adams Diversified Equity Fund Inc.,N,ADX,N,100.0,N,ADX
AEE,Ameren Corporation Common Stock,N,AEE,N,100.0,N,AEE
AEFC,Aegon Funding Company LLC 5.10% Subordinated Notes due 2049,N,AEFC,N,100.0,N,AEFC
AEG,Aegon Ltd. New York Registry Shares,N,AEG,N,100.0,N,AEG
AEM,Agnico Eagle Mines Limited Common Stock,N,AEM,N,100.0,N,AEM
AEO,"American Eagle Outfitters, Inc. Common Stock",N,AEO,N,100.0,N,AEO
AER,AerCap Holdings N.V. Ordinary Shares,N,AER,N,100.0,N,AER
AES,The AES Corporation Common Stock,N,AES,N,100.0,N,AES
AESI,Atlas Energy Solutions Inc. Common Stock,N,AESI,N,100.0,N,AESI
AEXA,American Exceptionalism Acquisition Corp. A Class A Ordinary Shares,N,AEXA,N,100.0,N,AEXA
AFB,AllianceBernstein National Municipal Income Fund Inc,N,AFB,N,100.0,N,AFB
AFG,"American Financial Group, Inc. Common Stock",N,AFG,N,100.0,N,AFG
AFGB,"American Financial Group, Inc. 5.875% Subordinated Debentures due 2059",N,AFGB,N,100.0,N,AFGB
AFGC,"American Financial Group, Inc. 5.125% Subordinated Debentures due 2059",N,AFGC,N,100.0,N,AFGC
AFGD,"American Financial Group, Inc. 5.625% Subordinated Debentures due 2060",N,AFGD,N,100.0,N,AFGD
AFGE,"American Financial Group, Inc. 4.500% Subordinated Debentures due 2060",N,AFGE,N,100.0,N,AFGE
AFL,AFLAC Incorporated Common Stock,N,AFL,N,100.0,N,AFL
AG,First Majestic Silver Corp. Ordinary Shares (Canada),N,AG,N,100.0,N,AG
AGCO,AGCO Corporation Common Stock,N,AGCO,N,100.0,N,AGCO
AGD,abrdn Global Dynamic Dividend Fund Common Shares of Beneficial Interest,N,AGD,N,100.0,N,AGD
AGI,Alamos Gold Inc. Class A Common Shares,N,AGI,N,100.0,N,AGI
AGL,"agilon health, inc. Common Stock",N,AGL,N,100.0,N,AGL
AGM,Federal Agricultural Mortgage Corporation Common Stock,N,AGM,N,100.0,N,AGM
AGM$D,"Federal Agricultural Mortgage Corporation 5.700% Non-Cumulative Preferred Stock, Series D",N,AGMpD,N,100.0,N,AGM-D
AGM$E,"Federal Agricultural Mortgage Corporation 5.750% Non-Cumulative Preferred Stock, Series E",N,AGMpE,N,100.0,N,AGM-E
AGM$F,"Federal Agricultural Mortgage Corporation 5.250% Non-Cumulative Preferred Stock, Series F",N,AGMpF,N,100.0,N,AGM-F
AGM$G,"Federal Agricultural Mortgage Corporation 4.875% Non-Cumulative Preferred Stock, Series G",N,AGMpG,N,100.0,N,AGM-G
AGM$H,"Federal Agricultural Mortgage Corporation 6.500% Non-Cumulative Preferred Stock, Series H",N,AGMpH,N,100.0,N,AGM-H
AGM.A,Federal Agricultural Mortgage Corporation Common Stock,N,AGM.A,N,100.0,N,AGM.A
AGO,Assured Guaranty Ltd. Common Stock,N,AGO,N,100.0,N,AGO
AGRO,Adecoagro S.A. Common Shares,N,AGRO,N,100.0,N,AGRO
AGX,"Argan, Inc. Common Stock",N,AGX,N,100.0,N,AGX
AHH,"Armada Hoffler Properties, Inc. Common Stock",N,AHH,N,100.0,N,AHH
AHH$A,"Armada Hoffler Properties, Inc. 6.75% Series A Cumulative Redeemable Perpetual Preferred Stock",N,AHHpA,N,100.0,N,AHH-A
AHL,Aspen Insurance Holdings Limited Class A Ordinary Shares,N,AHL,N,100.0,N,AHL
AHL$D,Aspen Insurance Holdings Limited 5.625% Perpetual Non-Cumulative Preference Shares,N,AHLpD,N,100.0,N,AHL-D
AHL$E,"Aspen Insurance Holdings Limited Depositary Shares, each representing a 1/1000th interest in a share of 5.625% Perpetual Non-Cumulative Preference Shares",N,AHLpE,N,100.0,N,AHL-E
AHL$F,"Aspen Insurance Holdings Limited Depositary Shares, each representing a 1/1,000th Interest in a 7.00% Perpetual Non-Cumulative Preference Share",N,AHLpF,N,100.0,N,AHL-F
AHR,"American Healthcare REIT, Inc. Common Stock",N,AHR,N,100.0,N,AHR
AHT,Ashford Hospitality Trust Inc Common Stock,N,AHT,N,100.0,N,AHT
AHT$D,Ashford Hospitality Trust Inc 8.45% Series D Cumulative Preferred Stock,N,AHTpD,N,100.0,N,AHT-D
AHT$F,Ashford Hospitality Trust Inc 7.375% Series F Cumulative Preferred Stock,N,AHTpF,N,100.0,N,AHT-F
AHT$G,Ashford Hospitality Trust Inc 7.375% Series G Cumulative Preferred Stock,N,AHTpG,N,100.0,N,AHT-G
AHT$H,Ashford Hospitality Trust Inc 7.50% Series H Cumulative Preferred Stock,N,AHTpH,N,100.0,N,AHT-H
AHT$I,Ashford Hospitality Trust Inc 7.50% Series I Cumulative Preferred Stock,N,AHTpI,N,100.0,N,AHT-I
AI,"C3.ai, Inc. Class A Common Stock",N,AI,N,100.0,N,AI
AIG,"American International Group, Inc. New Common Stock",N,AIG,N,100.0,N,AIG
AII,"American Integrity Insurance Group, Inc. Common Stock",N,AII,N,100.0,N,AII
AIIA.U,"AI Infrastructure Acquisition Corp. Units, each consisting of one Class A Ordinary Share and one Right",N,AIIA.U,N,100.0,N,AIIA=
AIN,Albany International Corporation Common Stock,N,AIN,N,100.0,N,AIN
AIO,Virtus Artificial Intelligence & Technology Opportunities Fund Common Shares of Beneficial Interest,N,AIO,N,100.0,N,AIO
AIR,AAR Corp. Common Stock,N,AIR,N,100.0,N,AIR
AIT,"Applied Industrial Technologies, Inc. Common Stock",N,AIT,N,100.0,N,AIT
AIV,Apartment Investment and Management Company Common Stock,N,AIV,N,100.0,N,AIV
AIZ,"Assurant, Inc. Common Stock",N,AIZ,N,100.0,N,AIZ
AIZN,"Assurant, Inc. 5.25% Subordinated Notes due 2061",N,AIZN,N,100.0,N,AIZN
AJG,Arthur J. Gallagher & Co. Common Stock,N,AJG,N,100.0,N,AJG
AKA,a.k.a. Brands Holding Corp. Common Stock,N,AKA,N,100.0,N,AKA
AKAF,ETF Series Solutions The Frontier Economic Fund,N,AKAF,Y,100.0,N,AKAF
AKO.A,Embotelladora Andina S.A. Common Stock,N,AKO.A,N,100.0,N,AKO.A
AKO.B,Embotelladora Andina S.A. Common Stock,N,AKO.B,N,100.0,N,AKO.B
AKR,Acadia Realty Trust Common Stock,N,AKR,N,100.0,N,AKR
AL,Air Lease Corporation Class A Common Stock,N,AL,N,100.0,N,AL
ALB,Albemarle Corporation Common Stock,N,ALB,N,100.0,N,ALB
ALB$A,Albemarle Corporation Depositary Shares each representing a 1/20th of 7.25% Series A Mandatory Convertible Preferred Stock,N,ALBpA,N,100.0,N,ALB-A
ALC,Alcon Inc. Ordinary Shares,N,ALC,N,100.0,N,ALC
ALE,"Allete, Inc.",N,ALE,N,100.0,N,ALE
ALEX,"Alexander & Baldwin, Inc. Common Stock REIT Holding Company",N,ALEX,N,100.0,N,ALEX
ALG,"Alamo Group, Inc. Common Stock",N,ALG,N,100.0,N,ALG
ALIT,"Alight, Inc. Class A Common Stock",N,ALIT,N,100.0,N,ALIT
ALK,"Alaska Air Group, Inc. Common Stock",N,ALK,N,100.0,N,ALK
ALL,Allstate Corporation (The) Common Stock,N,ALL,N,100.0,N,ALL
ALL$B,Allstate Corporation (The) 5.100% Fixed-to-Floating Rate Subordinated Debentures due 2053,N,ALLpB,N,100.0,N,ALL-B
ALL$H,"Allstate Corporation (The) Depositary Shares each representing a 1/1,000th interest in a share of Fixed Rate Noncumulative Perpetual Preferred Stock, Series H",N,ALLpH,N,100.0,N,ALL-H
ALL$I,"Allstate Corporation (The) Depositary Shares each representing a 1/1,000th interest in a share of Fixed Rate Noncumulative Perpetual Preferred Stock, Series I",N,ALLpI,N,100.0,N,ALL-I
ALL$J,"Allstate Corporation (The) Depositary Shares each representing a 1/1,000th interest in a share of Fixed Rate Noncumulative Perpetual Preferred Stock, Series J",N,ALLpJ,N,100.0,N,ALL-J
ALLE,Allegion plc Ordinary Shares,N,ALLE,N,100.0,N,ALLE
ALLY,Ally Financial Inc. Common Stock,N,ALLY,N,100.0,N,ALLY
ALSN,"Allison Transmission Holdings, Inc. Common Stock",N,ALSN,N,100.0,N,ALSN
ALTG,Alta Equipment Group Inc. Class A Common Stock,N,ALTG,N,100.0,N,ALTG
ALTG$A,Alta Equipment Group Inc. Depositary Shares (each representing 1/1000th in a share of 10% Series A Cumulative Perpetual Preferred Stock),N,ALTGpA,N,100.0,N,ALTG-A
ALUR,"Allurion Technologies, Inc. Common Stock",N,ALUR,N,100.0,N,ALUR
ALUR.W,"Allurion Technologies, Inc. Warrants, each whole warrant exercisable to purchase 1.420455 shares of common stock at an exercise price of $8.10 per share of common stock",N,ALUR.WS,N,100.0,N,ALUR+
ALV,"Autoliv, Inc. Common Stock",N,ALV,N,100.0,N,ALV
ALX,"Alexander's, Inc. Common Stock",N,ALX,N,100.0,N,ALX
AM,Antero Midstream Corporation Common Stock,N,AM,N,100.0,N,AM
AMBC,"Ambac Financial Group, Inc. Common Stock",N,AMBC,N,100.0,N,AMBC
AMBP,Ardagh Metal Packaging S.A. Ordinary Shares,N,AMBP,N,100.0,N,AMBP
AMBP.W,"Ardagh Metal Packaging S.A. Warrants, each exercisable for one Share at an exercise price of $11.50 per share",N,AMBP.WS,N,100.0,N,AMBP+
AMBQ,"Ambiq Micro, Inc. Common Stock",N,AMBQ,N,100.0,N,AMBQ
AMC,"AMC Entertainment Holdings, Inc. Class A Common Stock",N,AMC,N,100.0,N,AMC
AMCR,Amcor plc Ordinary Shares,N,AMCR,N,100.0,N,AMCR
AME,"AMETEK, Inc.",N,AME,N,100.0,N,AME
AMG,"Affiliated Managers Group, Inc. Common Stock",N,AMG,N,100.0,N,AMG
AMH,American Homes 4 Rent Common Shares of Beneficial Interest,N,AMH,N,100.0,N,AMH
AMH$G,American Homes 4 Rent Series G cumulative redeemable perpetual preferred shares of beneficial interest,N,AMHpG,N,100.0,N,AMH-G
AMH$H,American Homes 4 Rent Series H cumulative redeemable perpetual Preferred Shares of Beneficial Interest,N,AMHpH,N,100.0,N,AMH-H
AMN,AMN Healthcare Services Inc,N,AMN,N,100.0,N,AMN
AMP,"Ameriprise Financial, Inc. Common Stock",N,AMP,N,100.0,N,AMP
AMPX,"Amprius Technologies, Inc. Common Stock",N,AMPX,N,100.0,N,AMPX
AMPX.W,"Amprius Technologies, Inc. Warrants to purchase one share of Common Stock at an exercise price of $11.50 per share",N,AMPX.WS,N,100.0,N,AMPX+
AMPY,Amplify Energy Corp. Common Stock,N,AMPY,N,100.0,N,AMPY
AMR,"Alpha Metallurgical Resources, Inc. Common Stock",N,AMR,N,100.0,N,AMR
AMRC,"Ameresco, Inc. Class A Common Stock",N,AMRC,N,100.0,N,AMRC
AMRZ,Amrize Ltd Ordinary Shares,N,AMRZ,N,100.0,N,AMRZ
AMT,American Tower Corporation (REIT) Common Stock,N,AMT,N,100.0,N,AMT
AMTB,Amerant Bancorp Inc. Class A Common Stock,N,AMTB,N,100.0,N,AMTB
AMTD,"AMTD IDEA Group American Depositary Shares, each representing six (6) Class A Ordinary Shares",N,AMTD,N,100.0,N,AMTD
AMTM,"Amentum Holdings, Inc. Common Stock",N,AMTM,N,100.0,N,AMTM
AMWL,American Well Corporation Class A Common Stock,N,AMWL,N,100.0,N,AMWL
AMX,"America Movil, S.A.B. de C.V. American Depositary Shares (each representing the right to receive twenty (20) Series B Shares",N,AMX,N,100.0,N,AMX
AN,"AutoNation, Inc. Common Stock",N,AN,N,100.0,N,AN
ANET,"Arista Networks, Inc. Common Stock",N,ANET,N,100.0,N,ANET
ANF,Abercrombie & Fitch Company Common Stock,N,ANF,N,100.0,N,ANF
ANG$B,"American National Group Inc. Depositary Shares, each representing a 1/1,000th interest in a share of 6.625% Fixed-Rate Reset Non-Cumulative Preferred Stock, Series B",N,ANGpB,N,100.0,N,ANG-B
ANG$D,"American National Group Inc. Depositary Shares, each representing a 1/1000th interest in a share of 7.375% Fixed-Rate Non-Cumulative Preferred Stock, Series D",N,ANGpD,N,100.0,N,ANG-D
ANGX,"Angel Studios, Inc. Class A Common Stock",N,ANGX,N,100.0,N,ANGX
ANRO,"Alto Neuroscience, Inc. Common Stock",N,ANRO,N,100.0,N,ANRO
ANVS,"Annovis Bio, Inc. Common Stock",N,ANVS,N,100.0,N,ANVS
AOD,abrdn Total Dynamic Dividend Fund Common Shares of Beneficial Interest,N,AOD,N,100.0,N,AOD
AOMD,"Angel Oak Mortgage REIT, Inc. 9.750% Senior Notes due 2030",N,AOMD,N,100.0,N,AOMD
AOMN,"Angel Oak Mortgage REIT, Inc. 9.500% Senior Notes due 2029",N,AOMN,N,100.0,N,AOMN
AOMR,"Angel Oak Mortgage REIT, Inc. Common Stock",N,AOMR,N,100.0,N,AOMR
AON,Aon plc Class A Ordinary Shares (Ireland),N,AON,N,100.0,N,AON
AORT,"Artivion, Inc. Common Stock",N,AORT,N,100.0,N,AORT
AOS,A.O. Smith Corporation Common Stock,N,AOS,N,100.0,N,AOS
AP,Ampco-Pittsburgh Corporation Common Stock,N,AP,N,100.0,N,AP
APAM,Artisan Partners Asset Management Inc. Class A Common Stock,N,APAM,N,100.0,N,APAM
APD,"Air Products and Chemicals, Inc. Common Stock",N,APD,N,100.0,N,APD
APG,APi Group Corporation Common Stock,N,APG,N,100.0,N,APG
APH,Amphenol Corporation Common Stock,N,APH,N,100.0,N,APH
APLE,"Apple Hospitality REIT, Inc. Common Shares",N,APLE,N,100.0,N,APLE
APO,"Apollo Global Management, Inc. (New) Common Stock",N,APO,N,100.0,N,APO
APO$A,"Apollo Global Management, Inc. 6.75% Series A Mandatory Convertible Preferred Stock",N,APOpA,N,100.0,N,APO-A
APOS,"Apollo Global Management, Inc. 7.625% Fixed-Rate Resettable Junior Subordinated Notes due 2053",N,APOS,N,100.0,N,APOS
APTV,Aptiv PLC Ordinary Shares,N,APTV,N,100.0,N,APTV
AQN,Algonquin Power & Utilities Corp. Common Shares,N,AQN,N,100.0,N,AQN
AQNB,"Algonquin Power & Utilities Corp. 6.20% Fixed-to-Floating Subordinated Notes Series 2019-A due July 1, 2079",N,AQNB,N,100.0,N,AQNB
AR,Antero Resources Corporation Common Stock,N,AR,N,100.0,N,AR
ARCO,Arcos Dorados Holdings Inc. Class A Shares,N,ARCO,N,100.0,N,ARCO
ARDC,"Ares Dynamic Credit Allocation Fund, Inc. Common Shares",N,ARDC,N,100.0,N,ARDC
ARDT,"Ardent Health, Inc. Common Stock",N,ARDT,N,100.0,N,ARDT
ARE,"Alexandria Real Estate Equities, Inc. Common Stock",N,ARE,N,100.0,N,ARE
ARES,Ares Management Corporation Class A Common Stock,N,ARES,N,100.0,N,ARES
ARES$B,Ares Management Corporation 6.75% Series B Mandatory Convertible Preferred Stock,N,ARESpB,N,100.0,N,ARES-B
ARI,"Apollo Commercial Real Estate Finance, Inc",N,ARI,N,100.0,N,ARI
ARIS,"Aris Water Solutions, Inc. Class A Common Stock",N,ARIS,N,100.0,N,ARIS
ARL,"American Realty Investors, Inc. Common Stock",N,ARL,N,100.0,N,ARL
ARLO,"Arlo Technologies, Inc. Common Stock",N,ARLO,N,100.0,N,ARLO
ARMK,Aramark Common Stock,N,ARMK,N,100.0,N,ARMK
AROC,"Archrock, Inc. Common Stock",N,AROC,N,100.0,N,AROC
ARR,"ARMOUR Residential REIT, Inc.",N,ARR,N,100.0,N,ARR
ARR$C,"ARMOUR Residential REIT, Inc. 7% Series C Cumulative Redeemable Preferred Stock (liquidation preference $25.00 per share)",N,ARRpC,N,100.0,N,ARR-C
ARW,"Arrow Electronics, Inc. Common Stock",N,ARW,N,100.0,N,ARW
ARX,Accelerant Holdings Class A Common Shares,N,ARX,N,100.0,N,ARX
AS,"Amer Sports, Inc. Ordinary Shares",N,AS,N,100.0,N,AS
ASA,ASA  Gold and Precious Metals Limited,N,ASA,N,100.0,N,ASA
ASAN,"Asana, Inc. Class A Common Stock",N,ASAN,N,100.0,N,ASAN
ASB,Associated Banc-Corp Common Stock,N,ASB,N,100.0,N,ASB
ASB$E,"Associated Banc-Corp Depositary Shares, each representing a 1/40th interest in a share of 5.875% Non-Cumulative Perpetual Preferred Stock, Series E",N,ASBpE,N,100.0,N,ASB-E
ASB$F,"Associated Banc-Corp Depositary Shares, each representing a 1/40th interest in a share of Associated Banc-Corp 5.625% Non-Cumulative Perpetual Preferred Stock, Series F",N,ASBpF,N,100.0,N,ASB-F
ASBA,Associated Banc-Corp 6.625% Fixed-Rate Reset Subordinated Notes due 2033,N,ASBA,N,100.0,N,ASBA
ASC,Ardmore Shipping Corporation Common Stock,N,ASC,N,100.0,N,ASC
ASG,"Liberty All-Star Growth Fund, Inc.",N,ASG,N,100.0,N,ASG
ASGI,abrdn Global Infrastructure Income Fund Common Shares of Beneficial Interest,N,ASGI,N,100.0,N,ASGI
ASGN,ASGN Incorporated Common Stock,N,ASGN,N,100.0,N,ASGN
ASH,Ashland Inc. Common Stock,N,ASH,N,100.0,N,ASH
ASIC,Ategrity Specialty Insurance Company Holdings Common Stock,N,ASIC,N,100.0,N,ASIC
ASIX,AdvanSix Inc. Common Stock ,N,ASIX,N,100.0,N,ASIX
ASPN,"Aspen Aerogels, Inc. Common Stock",N,ASPN,N,100.0,N,ASPN
ASR,"Grupo Aeroportuario del Sureste, S.A. de C.V. Common Stock",N,ASR,N,100.0,N,ASR
ASX,"ASE Technology Holding Co., Ltd. American Depositary Shares (each representing Two Common Shares) ",N,ASX,N,100.0,N,ASX
ATCO$H,Atlas Corp. 7.875% Series H,N,ATCOpH,N,100.0,N,ATCO-H
ATEN,"A10 Networks, Inc. Common Stock",N,ATEN,N,100.0,N,ATEN
ATGE,Adtalem Global Education Inc. Common Stock,N,ATGE,N,100.0,N,ATGE
ATH$A,"Athene Holding Ltd. Depositary Shares, Each Representing a 1/1,000th Interest in a 6.35% Fixed-to-Floating Rate Perpetual Non-Cumulative Preference Share, Series A",N,ATHpA,N,100.0,N,ATH-A
ATH$B,"Athene Holding Ltd. Depositary Shares, Each Representing a 1/1,000th Interest in a 5.625% Fixed Rate Perpetual Non- Cumulative Preference Share, Series B, par value $1.00 per share",N,ATHpB,N,100.0,N,ATH-B
ATH$D,"Athene Holding Ltd. Depositary Shares, Each Representing a 1/1,000th Interest in a 4.875% Fixed-Rate Perpetual Non-Cumulative Preference Share, Series D",N,ATHpD,N,100.0,N,ATH-D
ATH$E,"Athene Holding Ltd. Depositary Shares, Each Representing a 1/1,000th Interest in a 7.750% Fixed-Rate Reset Perpetual Non-Cumulative Preference Share, Series E",N,ATHpE,N,100.0,N,ATH-E
ATHM,"Autohome Inc. American Depositary Shares, each representing four class A ordinary shares.",N,ATHM,N,100.0,N,ATHM
ATHS,Athene Holding Ltd. 7.250% Fixed-Rate Reset Junior Subordinated Debentures due 2064,N,ATHS,N,100.0,N,ATHS
ATI,ATI Inc. Common Stock,N,ATI,N,100.0,N,ATI
ATKR,Atkore Inc. Common Stock,N,ATKR,N,100.0,N,ATKR
ATMU,Atmus Filtration Technologies Inc. Common Stock,N,ATMU,N,100.0,N,ATMU
ATO,Atmos Energy Corporation Common Stock,N,ATO,N,100.0,N,ATO
ATR,"AptarGroup, Inc. Common Stock",N,ATR,N,100.0,N,ATR
ATS,ATS Corporation Common Shares,N,ATS,N,100.0,N,ATS
ATUS,"Altice USA, Inc. Class A Common Stock",N,ATUS,N,100.0,N,ATUS
AU,AngloGold Ashanti PLC Ordinary Shares,N,AU,N,100.0,N,AU
AUB,Atlantic Union Bankshares Corporation Common Stock,N,AUB,N,100.0,N,AUB
AUB$A,"Atlantic Union Bankshares Corporation Depositary Shares each representing a 1/400th ownership interest in a share of 6.875% Perpetual Non-Cumulative Preferred Stock, Series A",N,AUBpA,N,100.0,N,AUB-A
AUNA,Auna SA Class A Ordinary Shares,N,AUNA,N,100.0,N,AUNA
AVA,Avista Corporation Common Stock,N,AVA,N,100.0,N,AVA
AVAL,Grupo Aval Acciones y Valores S.A. ADR (Each representing 20 preferred shares),N,AVAL,N,100.0,N,AVAL
AVB,"AvalonBay Communities, Inc. Common Stock",N,AVB,N,100.0,N,AVB
AVBC,"Avidia Bancorp, Inc. Common Stock",N,AVBC,N,100.0,N,AVBC
AVD,American Vanguard Corporation Common Stock ($0.10 Par Value),N,AVD,N,100.0,N,AVD
AVK,Advent Convertible and Income Fund,N,AVK,N,100.0,N,AVK
AVNS,"Avanos Medical, Inc. Common Stock",N,AVNS,N,100.0,N,AVNS
AVNT,Avient Corporation Common Stock,N,AVNT,N,100.0,N,AVNT
AVTR,"Avantor, Inc. Common Stock",N,AVTR,N,100.0,N,AVTR
AVY,Avery Dennison Corporation Common Stock,N,AVY,N,100.0,N,AVY
AWF,Alliancebernstein Global High Income Fund,N,AWF,N,100.0,N,AWF
AWI,Armstrong World Industries Inc Common Stock,N,AWI,N,100.0,N,AWI
AWK,"American Water Works Company, Inc. Common Stock",N,AWK,N,100.0,N,AWK
AWP,abrdn Global Premier Properties Fund Common Shares of Beneficial Interest,N,AWP,N,100.0,N,AWP
AWR,American States Water Company Common Stock,N,AWR,N,100.0,N,AWR
AX,"Axos Financial, Inc. Common Stock",N,AX,N,100.0,N,AX
AXL,"American Axle & Manufacturing Holdings, Inc. Common Stock",N,AXL,N,100.0,N,AXL
AXP,American Express Company Common Stock,N,AXP,N,100.0,N,AXP
AXR,AMREP Corporation Common Stock,N,AXR,N,100.0,N,AXR
AXS,Axis Capital Holdings Limited Common Stock,N,AXS,N,100.0,N,AXS
AXS$E,"Axis Capital Holdings Limited Depositary Shares, each representing 1/100th interest in a share of a 5.50% Series E Preferred Shares",N,AXSpE,N,100.0,N,AXS-E
AXTA,Axalta Coating Systems Ltd. Common Shares,N,AXTA,N,100.0,N,AXTA
AYI,Acuity Inc. Common Stock,N,AYI,N,100.0,N,AYI
AZO,"AutoZone, Inc. Common Stock",N,AZO,N,100.0,N,AZO
AZZ,AZZ Inc.,N,AZZ,N,100.0,N,AZZ
B,Barrick Mining Corporation Common Shares,N,B,N,100.0,N,B
BA,Boeing Company (The) Common Stock,N,BA,N,100.0,N,BA
BA$A,"Boeing Company (The) Depositary Shares, each representing a 1/20th interest in a share of 6.00% Series A Mandatory Convertible Preferred Stock, par value $1.00",N,BApA,N,100.0,N,BA-A
BABA,Alibaba Group Holding Limited American Depositary Shares each representing eight Ordinary share,N,BABA,N,100.0,N,BABA
BAC,Bank of America Corporation Common Stock,N,BAC,N,100.0,N,BAC
BAC$B,"Bank of America Corporation Depositary Shares, each representing a 1/1,000th interest in a share of 6.000% Non-Cumulative Preferred Stock, Series GG",N,BACpB,N,100.0,N,BAC-B
BAC$E,Bank of America Corporation Depositary Sh repstg 1/1000th Perp Pfd Ser E,N,BACpE,N,100.0,N,BAC-E
BAC$K,"Bank of America Corporation Depositary Shares, each representing a 1/1,000th interest in a share of 5.875% Non- Cumulative Preferred Stock, Series HH",N,BACpK,N,100.0,N,BAC-K
BAC$L,Bank of America Corporation Non Cumulative Perpetual Conv Pfd Ser L,N,BACpL,N,10.0,N,BAC-L
BAC$M,"Bank of America Corporation Depositary Shares, each representing a 1/1,000th interest in a share of 5.375% Non-Cumulative Preferred Stock, Series KK",N,BACpM,N,100.0,N,BAC-M
